説明(英語),説明(英語)
"The function copies the source image into the middle of the destination image. The areas to the left, to the right, above and below the copied source image will be filled with extrapolated pixels. This is not what filtering functions based on it do (they extrapolate pixels on-fly), but what other more complex functions, including your own, may do to simplify image boundary handling.The function supports the mode when src is already in the middle of dst . In this case, the function does not copy src itself but simply constructs the border, for example:// let border be the same in all directionsint border=2;// constructs a larger image to fit both the image and the borderMat gray_buf(rgb.rows + border*2, rgb.cols + border*2, rgb.depth());// select the middle part of it w/o copying dataMat gray(gray_canvas, Rect(border, border, rgb.cols, rgb.rows));// convert image from RGB to grayscalecvtColor(rgb, gray, COLOR_RGB2GRAY);// form a border in-placecopyMakeBorder(gray, gray_buf, border, border,               border, border, BORDER_REPLICATE);// now do some custom filtering ......fragmentNoteWhen the source image is a part (ROI) of a bigger image, the function will try to use the pixels outside of the ROI to form a border. To disable this feature and always do extrapolation, as if src was not a ROI, use borderType | BORDER_ISOLATED.See alsoborderInterpolateExamples: samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cpp.","この関数は，入力画像を出力画像の中央にコピーします．コピーされたソース画像の左、右、上、下の領域は、外挿されたピクセルで埋められます。これは，この関数を基にしたフィルタリング関数が行っていること（オンザフライでピクセルを外挿すること）とは異なりますが，あなた自身の関数を含む他のより複雑な関数が，画像の境界処理を簡単にするために行っていることもあります． この関数は，src が既に dst の中央にある場合のモードをサポートしています．この場合，この関数は src 自身をコピーせず，単に境界を作成します．例えば，次のようにします： // 境界はすべての方向で同じであるとするint border=2;// 画像と境界の両方に合うように，より大きな画像を作成するMat gray_buf(rgb.rows + border*2, rgb.cols + border*2, rgb.depth());// dataMat gray(gray_canvas, Rect(border, border, rgb.cols, rgb.rows));// 画像を RGB からグレースケールに変換するecvtColor(rgb, gray, COLOR_RGB2GRAY);// その場で境界線を形成するcopyMakeBorder(gray, gray_buf, border, border, border, BORDER_REPLICATE);// 独自のフィルタリングを行う ......fragment注：入力画像が大きな画像の一部（ROI）である場合、この関数は ROI の外側のピクセルを使って境界線を形成しようとします。この機能を無効にして、あたかもsrcがROIでないかのように常に外挿するには、 borderType | BORDER_ISOLATEDを使用してください。他にもborderInterpolateExamples: samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cppを参照してください。"
Calculates the per-element sum of two arrays or an array and a scalar.,2つの配列，または配列とスカラの要素毎の和を求めます．
src1 : first input array or a scalar.,src1 : 1 番目の入力配列，またはスカラ．
src2 : second input array or a scalar.,src2 : 2 番目の入力配列，またはスカラ．
dst : output array that has the same size and number of channels as the input array(s); the depth is defined by dtype or src1/src2.,dst : 入力配列と同じサイズ，同じチャンネル数の出力配列．深さは dtype または src1/src2 によって定義されます．
"mask : optional operation mask - 8-bit single channel array, that specifies elements of the output array to be changed.",mask : オプションである操作マスク．8ビットのシングルチャンネル配列で，変更される出力配列の要素を指定します．
dtype : optional depth of the output array (see the discussion below).,dtype : オプションで，出力配列の深さを指定します（後述の説明を参照してください）．
The function add calculates:Sum of two arrays when both input arrays have the same size and the same number of channels: ,関数 add は，同じサイズ，同じチャンネル数の入力配列を持つ2つの配列の和を求めます．
\[\texttt{dst}(I) = \texttt{saturate} ( \texttt{src1}(I) + \texttt{src2}(I)) \quad \texttt{if mask}(I) \ne0\],\I） = ˶ˆ꒳ˆ˵ ( ˶ˆ꒳ˆ˵ )\♪♪～
Sum of an array and a scalar when src2 is constructed from Scalar or has the same number of elements as src1.channels(): ,src2 が Scalar で構成されているか，または src1.channels() と同じ数の要素を持つ場合，配列とスカラの和になります．
\[\texttt{dst}(I) = \texttt{saturate} ( \texttt{src1}(I) + \texttt{src2} ) \quad \texttt{if mask}(I) \ne0\],\I） = ˶ˆ꒳ˆ˵ ( ˶ˆ꒳ˆ˵ )\I (if mask}(I)
Sum of a scalar and an array when src1 is constructed from Scalar or has the same number of elements as src2.channels(): ,src1 が Scalar で構成されている場合や， src2.channels() と同じ数の要素を持つ場合に，スカラと配列の和を求めます．
\[\texttt{dst}(I) = \texttt{saturate} ( \texttt{src1} + \texttt{src2}(I) ) \quad \texttt{if mask}(I) \ne0\],\I） = ˶ˆ꒳ˆ˵ ( ˶ˆ꒳ˆ˵ )+ ˶ˆ꒳ˆ˵ )\I (I)
" where I is a multi-dimensional index of array elements. In case of multi-channel arrays, each channel is processed independently.The first function in the list above can be replaced with matrix expressions:dst = src1 + src2;dst += src1; // equivalent to add(dst, src1, dst);fragmentThe input arrays and the output array can all have the same or different depths. For example, you can add a 16-bit unsigned array to a 8-bit signed array and store the sum as a 32-bit floating-point array. Depth of the output array is determined by the dtype parameter. In the second and third cases above, as well as in the first case, when src1.depth() == src2.depth(), dtype can be set to the default -1. In this case, the output array will have the same depth as the input array, be it src1, src2 or both.NoteSaturation is not applied when the output array has the depth CV_32S. You may even get result of an incorrect sign in the case of overflow.See alsosubtract, addWeighted, scaleAdd, Mat::convertToExamples: modules/shape/samples/shape_example.cpp."," ここで I は，配列要素の多次元インデックスです．上のリストの最初の関数は，行列式に置き換えることができます： dst = src1 + src2;dst += src1; // add(dst, src1, dst);fragment入力配列と出力配列のビット深度は，すべて同じでも異なっていても構いません．例えば，16 ビットの符号なし配列と 8 ビットの符号あり配列を加算し，その和を 32 ビットの浮動小数点配列として格納することができます．出力配列の深さは、dtypeパラメータで決定されます。上記の 2 番目と 3 番目のケース，そして最初のケースと同様に， src1.depth() == src2.depth() の場合， dtype をデフォルトの -1 に設定することができます． この場合，出力配列のビット深度は， src1，src2，またはその両方の入力配列と同じになります． 注意出力配列のビット深度が CV_32S の場合，彩度は適用されません．subtract, addWeighted, scaleAdd, Mat::convertToExamples も参照してください： modules/shape/samples/shape_example.cpp."
